"Kecamatan" "Kabupaten" "Provinsi" "Region" "WARNING"
"KARAWANG BARAT" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"KARAWANG TIMUR" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"KARTASEMAYA" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "232.6"
"KASOKANDEL" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "238.7 Naik 0"
"KASOMALANG" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"KATAPANG" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"KAWALI" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"KAWALU" "KOTA TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"KEBON PEDES" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"KEDAWUNG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "231.9"
"KEDOKAN BUNDER" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "233.1"
"KEDUNGWARINGIN" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"KEJAKSAN" "KOTA CIREBON" "JAWA BARAT" "JAWA" "231.9"
"KEMANG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"KERSAMANAH" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"KERTAJATI" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "232.4"
"KERTASARI" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"KESAMBI" "KOTA CIREBON" "JAWA BARAT" "JAWA" "233.2"
"KIARAPEDES" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"KLANGENAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "232.6"
"KLAPANUNGGAL" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"KLARI" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"KRAMATMULYA" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "236.3"
"KRANGKENG" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "229.9"
"KROYA" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "234.8 Naik 48.1"
"KUNINGAN" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235.8"
"KUTAWALUYA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"KUTAWARINGIN" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"LABAKWANGI" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "234.7 Naik 41.7"
"LAKBOK" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "236.9 Naik 0"
"LANGENSARI" "KOTA BANJAR" "JAWA BARAT" "JAWA" "239.9 Naik 0"
"LANGKAP LANCAR" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "No Warning"
"LEBAKWANGI" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "234.8 Naik 50"
"LEGONKULON" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"LELEA" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "233.9"
"LELES" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"LELES" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"LEMAH SUGIH" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "No Warning"
"LEMAH WUNGKUK" "KOTA CIREBON" "JAWA BARAT" "JAWA" "233.5"
"LEMAHABANG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "232.2 Naik 0"
"LEMAHABANG" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"LEMBANG" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"LEMBURSITU" "KOTA SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"LENGKONG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"LEUWI MUNDING" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "232.2"
"LEUWIGOONG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"LEUWILIANG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"LEUWISADENG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"LEUWISARI" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"LIGUNG" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "232.3"
"LIMO" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"LOHBENER" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "236.9"
"LOSARANG" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "234.8"
"LOSARI" "KAB. CIREBON" "JAWA BARAT" "JAWA" "230 Naik 50"
"LUMBUNG" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"LURAGUNG" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235 Naik 0"
"MAJA" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "238.9 Naik 0"
"MAJALAYA" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"MAJALAYA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"MAJALENGKA" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "239.8 Naik 16.7"
"MALANGBONG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"MALAUSMA" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "No Warning"
"MALEBER" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "No Warning"
"MANDALAJATI" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"MANDE" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"MANDIRANCAN" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235.9"
"MANGKUBUMI" "KOTA TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"MANGUNJAYA" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "235.6 Naik 0"
"MANGUNREJA" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"MANIS" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"MANONJAYA" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"MARGAASIH" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"MARGAHAYU" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"MEDAN SATRIA" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"MEGAMENDUNG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"MEKARMUKTI" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"MUARAGEMBONG" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"MUNDU" "KAB. CIREBON" "JAWA BARAT" "JAWA" "233.2"
"MUSTIKA JAYA" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"NAGRAK" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"NAGREG" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"NANGGUNG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"NARINGGUL" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"NGAMPRAH" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"NYALINDUNG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"PABEDILAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "231.5 Naik 20"
"PABUARAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "230.7 Naik 0"
"PABUARAN" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"PABUARAN" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"PACET" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"PACET" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"PADAHERANG" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "233.8 Naik 0"
"PADAKEMBANG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"PADALARANG" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"PAGADEN" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"PAGADEN BARAT" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"PAGELARAN" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"PAGERAGEUNG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"PAKENJENG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"PAKISJAYA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"PALASAH" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "231.8"
"PALIMANAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "236.9"
"PAMANUKAN" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"PAMARICAN" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"PAMEUNGPEUK" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"PAMEUNGPEUK" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"PAMIJAHAN" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"PAMULIHAN" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"PAMULIHAN" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"PANAWANGAN" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"PANCALANG" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235.6"
"PANCATENGAH" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "239.7 Naik 0"
"PANCORAN MAS" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"PANGALENGAN" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"PANGANDARAN" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "235.8 Naik 0"
"PANGATIKAN" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"PANGENAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "230.9 Naik 28.6"
"PANGKALAN" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"PANJALU" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"PANUMBANGAN" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"PANYILEUKAN" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"PANYINGKIRAN" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "No Warning"
"PARAKANSALAK" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"PARIGI" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "239.8 Naik 0"
"PARONGPONG" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"PARUNG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"PARUNG KUDA" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"PARUNGPANJANG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"PARUNGPONTENG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"PASALEMAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "228.2 Naik 0"
"PASAWAHAN" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"PASEG" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"PASEH" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"PASEKAN" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "No Warning"
"PASIR JAMBU" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"PASIR KUDA" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"PASIRWANGI" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"PATARUMAN" "KOTA BANJAR" "JAWA BARAT" "JAWA" "No Warning"
"PATOKBEUSI" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"PATROL" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "No Warning"
"PEBAYURAN" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"PEDES" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"PEKALIPAN" "KOTA CIREBON" "JAWA BARAT" "JAWA" "231.6"
"PELABUHAN RATU" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"PEMBANTU BANJARAN" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "No Warning"
"PEMBANTU CIGASONG" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "239.5 Naik 0"
"PENDEUY" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"PESAWAHAN" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "233.7"
"PLERED" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"PLUMBON" "KAB. CIREBON" "JAWA BARAT" "JAWA" "234.7"
"PONDOK GEDE" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"PONDOK MELATI" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"PONDOK SALAM" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"PURABAYA" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"PURBARATU" "KOTA TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"PURWADADI" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "237.7 Naik 0"
"PURWADADI" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"PURWAHARJA" "KOTA BANJAR" "JAWA BARAT" "JAWA" "No Warning"
"PURWAKARTA" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"PURWASARI" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"PUSAKANAGARA" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"PUSPAHIANG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"RAJADESA" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"RAJAGALUH" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "235"
"RAJAPOLAH" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"RANCABALI" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"RANCABUNGUR" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"RANCAEKEK" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"RANCAH" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"RANCAKALONG" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"RANCASARI" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"RAWA LUMBU" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"RAWAMERTA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"REGOL" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"RENGASDENG" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"RENGASDENGKLOK" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"RONGGA" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"RUMPIN" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"SADANANYA" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"SAGALAHERANG" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"SAGARANTEN" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"SAGULING" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"SALAWU" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SALOPA" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SAMARANG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"SARIWANGI" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SAWANGAN" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"SEDONG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "235.7 Naik 0"
"SELAAWI" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"SELAJAMBE" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "No Warning"
"SERANG BARU" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"SETU" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"SIDAMULIH" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "238 Naik 0"
"SIMPENAN" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"SINDANG" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "239.7"
"SINDANG" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "237.2 Naik 0"
"SINDANGBARANG" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"SINDANGKERTA" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"SINDANGWANGI" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "232.2"
"SINGAJAYA" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"SINGAPARNA" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SITURAJA" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"SLIYEG" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "234.3"
"SODONG HILIR" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SOLOKAN JERUK" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"SOREANG" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"SUBANG" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"SUCINARAJA" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"SUKABUMI" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"SUKADANA" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"SUKAHAJI" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "235.6 Naik 25"
"SUKAHENING" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SUKAJADI" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"SUKAJAYA" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"SUKAKARYA" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"SUKALARANG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"SUKALUYU" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"SUKAMAKMUR" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"SUKAMANTRI" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"SUKANAGARA" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"SUKARAJA" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"SUKARAJA" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"SUKARAJA" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SUKARAME" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SUKARATU" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SUKARESIK" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"SUKARESMI" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"SUKARESMI" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"SUKASARI" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"SUKASARI" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"SUKASARI" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"SUKASARI" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"SUKASARI" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"SUKATANI" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"SUKATANI" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"SUKAWANGI" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"SUKAWENING" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"SUKMA JAYA" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"SUKRA" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "No Warning"
"SUMBER" "KAB. CIREBON" "JAWA BARAT" "JAWA" "235.5"
"SUMBER JAYA" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "232"
"SUMEDANG SELATAN" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"SUMEDANG UTARA" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"SUMUR BANDUNG" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"SURADE" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"SURANENGGALA" "KAB. CIREBON" "JAWA BARAT" "JAWA" "230.1"
"SURIAN" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"SUSUKAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "234"
"SUSUKAN LEBAK" "KAB. CIREBON" "JAWA BARAT" "JAWA" "235 Naik 0"
"TAJUR HALANG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"TAKOKAK" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"TALAGA" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "No Warning"
"TALAGASARI" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"TALEGONG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"TALUN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "235"
"TAMANSARI" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"TAMBAKDAHAN" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"TAMBELANG" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"TAMBUN SELATAN" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"TAMBUN UTARA" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"TANAH SAREAL" "KOTA BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"TANGGEUNG" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"TANJUNG JAYA" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"TANJUNG KERTA" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"TANJUNG MEKAR" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"TANJUNGSARI" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"TANJUNGSARI" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"TANJUNGSIANG" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"TAPOS" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"TARAJU" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"TAROGONG KALER" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"TAROGONG KIDUL" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"TARUMAJAYA" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"TAWANG" "KOTA TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"TEGAL WARU" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"TEGALBULEUD" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"TEGALWARU" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"TELUKJAMBE BARAT" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"TELUKJAMBE TIMUR" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"TEMPURAN" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"TENGAH TANI" "KAB. CIREBON" "JAWA BARAT" "JAWA" "233.7"
"TENJO" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"TENJOLAYA" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"TERISI" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "233.3"
"TIRTAJAYA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"TIRTAMULYA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"TOMO" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "238.5"
"UJUNGJAYA" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "234.6"
"WADO" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"WALED" "KAB. CIREBON" "JAWA BARAT" "JAWA" "231.3 Naik 0"
"WALURAN" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"WANARAJA" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"WANAYASA" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"WARUDOYONG" "KOTA SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"WARUNG KIARA" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"WARUNG KONDANG" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"WERU" "KAB. CIREBON" "JAWA BARAT" "JAWA" "233.1"
"WIDASARI" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "234.1"
